appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Harriet Sleight,s_34,Meta-analysis of the thermal pollution caused by coastal nuclear power plants and its effects on marine biodiversity,12:20,Yes,All statistical analyses were conducted in R software version 4.3.1.  Effect size was calculated using the package 'metafor' version 3.4-0.,No,"The relevant R packages and functions are stated but the code is not explicitly reported in the manuscript, supplementary material or external repository. ",Yes,"75 articles were included in the meta-analysis, a PRISMA diagram is included in the supplementary material document 3 (Figure 1)",Yes,The figure caption for Figure 7 states (k=82). ,Yes,Formula is not stated explicitly but can be obtained from references to the R package and functions used.,Yes,A mixed effect model using the rma.mv function was used for the meta-analysis. ,No,,No,,Yes,"The meta-analysis overall effect size showed that there was a significant temperature increase in the impacted areas relative to the reference areas (mean 4.38 ◦C, 95 % CI = 3.72–5.03; Fig. 7).",Yes,The authors reported heterogeneity in terms of I^2 on page 6 of the article ,Yes,Publication bias was assessed using Egger's regression and results are presented on page 6 of the article. A funnel plot is included in the Supplementary Material document 3 (Figure 3),No,,No,"The data availability statement states 'No data was used for the research described in the article.' which I don't think is accurate.
Data for the nuclear power plants is given in Supplementary Material document 3 (Table 2) but this does not include the raw data for mean water temperature and number of observations which were used in the meta-analysis. ",Yes,"The authors have stated that for each primary study, mean water temperature, standard deviation, and sample size were extracted for areas that recieved thermal effluent from nuclear power plants and areas that did not receive such effluent. ","Searching the manuscript text took longer for this meta-analysis as it did not have subheadings e.g. for introduction, methods, results etc and there were three separate documents of supplementary material ",12:59
Verónica Ferreira,s_34,Meta-analysis of the thermal pollution caused by coastal nuclear power plants and its effects on marine biodiversity,16:42,Yes,'All statistical analyses were conducted in R software version 4.1.3',No,No code reported,Yes,Fig 1 on supplementary material,Yes,e.g. Fig. 7,Yes,"'recommended for quantitative measures based on raw means without any conversion (the raw mean). The database used for the effect size calculation was composed of mean (mi), standard deviation (sdi), and number of observations (ni) for each of the primary studies. In our study, mi corresponds to the difference in means between reference and impacted sites within the same study.'",Yes,"'A mixed effect model (Nakagawa and Santos, 2012) using the rma.mv function was used for the meta-analysis'",No,Fig 7 with 95%CI associated with effect sizes,Yes,"'In this model, study identity (ID) was incorporated as a random factor, because in some cases more than one measure was obtained per study.'",Yes,"'The meta-analysis overall effect size showed that there was a significant temperature increase in the impacted areas relative to'
Fig. 7",Yes,"'The level of model heterogeneity was calculated by considering the effect size of each study using the I2 statistic, whereby values of 25 %, 50 %, and 75 % are considered low, moderate, and high, respectively (Higgins et al., 2003).'
'After including this moderator in the overall model, the total heterogeneity
among effect sizes (I2) was significant (p < 0.0001)'",Yes,"'To check for the presence of publication bias, ...'
Fig. 3 in the supplementary material",No,,No,No primary data provided,Yes,e.g. Table 2,,16:55
Kiran T M,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta analysis,15:02,Yes,Reported in method section 2.2.,,Authors used menu driven software Review Manager 5.4,Yes,Mentioned in the methodology section,No,,No,,Yes,Reported in Result section Fig 1 and 2,Yes,Reported in Result section Fig 1 and 2,No,,Yes,Reported in result fig 1 & 2,Yes,Reported in result section fig1 & 2,Yes,Reported in supplimentary file,No,,No,,,,This study satisfies 8 out of 10 items of MATES,15:20
Erin Macartney,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,14:20,Yes,R,No,,Yes,,Yes,in text and Fig. S1,No,,Yes,Random effects model,Yes,,No,,Yes,,Yes,I2 - Fig. 1,Yes,,Yes,claim that sub-analyses is their test of sensitivity as large datasets can 'mask' effects,No,,No,,,15:30
Kyle Morrison,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,8:56,Yes,RevMan,,,Yes,,Yes,Table s1,No,,Yes,,No,states weights but not how the study was weighted - I think this is an important point to make for the tool.,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,,,9:00
Guang Hao,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,13:37,Yes,,No,,No,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,No,,,13:53
Kyle Morrison,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,8:34,Yes,"revman
",,revman is click based,No,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,,,,8:38
Mojtaba Keikha,s_35,Phytotoxicological effects of phytosynthesized nanoparticles: A systematic review and meta-analysis,18:52,Yes,,,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,No,,No,,Thank you.,19:01
Beillouin Damien,s_36,Prevalence and concentration of ochratoxin a in spices: a global systematic review and meta-analysis study,9:17,Yes,"All data were analysed using STATA 14.0 (2015; STATA 14.0
Statistical Software, College Station, TX, USA).",No,no information on code/script,Yes,Table 1. Main characteristics of included studies,Yes,"not directly displayed in the text, but we can count the number of row in Figure 2. e.g. ",No,"not totally clear for me. They extracted the 'prevalence"" directly from the texts, but I do not understand were they find/how they calculate the CIs of the prevalence.",Yes,"In the present study, the random effect model (REM) was used to estimate the
pooled concentrations and prevalence of OTA in spices with 95% confidence
intervals for all evaluated articles.",Yes,"Figure 2. Forest plots for random-effects meta-analysis of prevalence of OTA in the spice samples.
Effect size (ES) is prevalence of OTA in any study.",No,I did not found text/explanation on how they deal with dependancy. But I know some primary articles present more than one effect-size,Yes,"Figure 2. Forest plots for random-effects meta-analysis of prevalence of OTA in the spice samples.
Effect size (ES) is prevalence of OTA in any study.",Yes,Table 2. Meta-analysis prevalence of ochratoxin a in spices (%) based on location of study.,Yes,"Publication bias among
the included studies was detected statistically by using Egger’s test [24]. As publication bias among studies was significant (P-value < 0.05), the Meta Trim test was
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY 3
performed to estimate the pooled prevalence of OTA in the spices to eliminate the
publication bias [25].",No,not found any sensitivity analyses,Yes,We can retrieve the values in the forest plots,Yes,"All the
required data such as first author, publication year, country, total sample size, type of
spice, number of positive samples, the prevalence of OTA, the mean and standard
deviation of OTA, the limit of detection (LOD), and limit of quantification (LOQ) were
included in the Microsoft Excel software (Microsoft Corporation, WA, US).",,9:35
Malgorzata Lagisz,s_36,Prevalence and concentration of ochratoxin a in spices: a global systematic review and meta-analysis study,8:42,Yes,,No,,Yes,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,,,8:52
Kyle Morrison,s_36,Prevalence and concentration of ochratoxin a in spices: a global systematic review and meta-analysis study,11:11,Yes,,No,,Yes,,No,,No,,No,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,,,11:18
Ayumi Mizuno,s_36,Prevalence and concentration of ochratoxin a in spices: a global systematic review and meta-analysis study,22:02,Yes,"[5. Meta-analysis and meta-regression of data]
All data were analysed using STATA 14.0 (2015; STATA 14.0Statistical Software, College Station, TX, USA",,Maybe (we looked at the website but could not find any description of codes being required for the analysis).,Yes,"Figure 1
[6.1. Study selection] 
Full texts of 88 remaining articles were assessed and based on the eligibility criteria 36 articles with 65 studies were included in the current meta-analysis.",No,,No,,Yes,"[5. Meta-analysis and meta-regression of data]
The random effect model (REM) was used to estimate the pooled concentrations and prevalence of OTA in spices with 95% confidence intervals for all evaluated articles.",Yes,"Maybe. The authors clearly said whether they did a weighted meta-analysis, but the figures show weight %.",No,,Yes,,Yes,I2 and Q,Yes,Egger’s test,Yes,,No,,No,,,22:35
Kyle Morrison,s_37,"Prevalence of Listeria monocytogenes and other Listeria species in fish, fish products and fish processing environment: A systematic review and meta-analysis",11:39,Yes,,,PQStat version 1.4.8 - seems click-based,Yes,,No,,No,,Yes,,No,,No,,No,may change as its not the aim of the analysis,Yes,,Yes,,Yes,,No,,,,,11:42
Jelaine Gan,s_37,"Prevalence of Listeria monocytogenes and other Listeria species in fish, fish products and fish processing environment: A systematic review and meta-analysis",7:40,Yes,methods,,,Yes,,Yes,Table 2,No,,Yes,random,,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,,7:58
Kok Sin Woon,s_37,"Prevalence of Listeria monocytogenes and other Listeria species in fish, fish products and fish processing environment: A systematic review and meta-analysis",11:00,Yes,The overall prevalence was estimated by using the PQStat version 1.4.8 statistical software for conducting the meta-analysis (Section 2.4),No,,Yes,"A total of 581 papers were obtained during the systematic study, of which 106 underwent a thorough evaluation. Forty-six papers total were eventually included in the meta-analysis. (Section 3.1)

Prisma model is used.",Yes,"A total of 14,496 samples were examined in the studies that made up the meta-analysis, including 7135 samples and 2395 samples of raw fish investigated for L. monocytogenes and Listeria sp. occurrence respectively. A large number of samples evaluated were also RTE, a total of 2024 and 654 for L. monocytogenes and Listeria sp. occurrence respectively (Section 3.1)",No,,Yes,A meta-analysis was conducted employing the random-effects model to compute the pooled prevalence and its associated 95 % confidence interval (CI). (Section 2.4),Yes,"A meta-analysis was conducted employing the random-effects model to compute the pooled prevalence and its associated 95 % confidence interval (CI). The heterogeneity between estimates was evaluated using the Higgins I2 and Cochran's Q approach, which quantifies the degree of variation not attributable to sampling error across studies (Section 2.4)",Yes,"The supplementary tables (e.g., Table 2 in the word file) provide detailed breakdowns of the studies, indicating multiple effect sizes taken from single studies.",Yes,The pooled prevalence of L. monocytogenes and Listeria sp. from different fish-related sources is summarized in Table 2.,Yes,"The heterogeneity between estimates was evaluated using the Higgins I2 and Cochran's Q approach, which quantifies the degree of variation not attributable to sampling error across studies. (Section 2.4)",Yes,Publication bias was evaluated using the Eggers test and the visual inspection of the funnel plot (with p < 0.05 taken as a sign of statistically significant publication bias) (Section 2.4),Yes,A sensitivity analysis was conducted in order to determine whether the exclusion of any given study had a quantifiable impact on the pooled prevalence value without taking into consideration the individual study. (Section 2.4),Yes,"The data was gathered according to the authors' surnames, year of publication, variety of isolation source, sample size, quantity of L. monocytogenes and Listeria sp. isolates. Data extraction was conducted by a reviewer (AJZ), with any discrepancies resolved through consultation with JG, WCh-W, and AZ.(Section 2.3)",Yes,"The data was gathered according to the authors' surnames, year of publication, variety of isolation source, sample size, quantity of L. monocytogenes and Listeria sp. isolates. (Section 2.3)

A total of 581 papers were obtained during the systematic study, of
which 106 underwent a thorough evaluation. Forty-six papers total were
eventually included in the meta-analysis. (Section 3.1)
",This paper follows a systematic meta-analysis methodology and hence using MATES is easy for analyzing this paper.,11:30
